Time,timestampREST,REST,timestampHTTP,HTTPStream,timestampWSS,WebSocket
2024-05-30T13:38:26+00:00,1717076303,3732.1974859,,,,
2024-05-30T13:38:32+00:00,1717076307,3732.1974859,,,,
2024-05-30T13:38:34+00:00,1717076313,3732.21272238,,,,
2024-05-30T13:38:36+00:00,1717076316,3731.87963004,,,,
2024-05-30T13:38:38+00:00,1717076317,3731.87963004,,,,
2024-05-30T13:38:40+00:00,1717076320,3730.39927825,,,,
2024-05-30T13:38:42+00:00,1717076322,3730.39927825,,,,
2024-05-30T13:38:50+00:00,1717076329,3729.92053317,,,,
2024-05-30T13:38:52+00:00,1717076331,3730.04935484,,,,
2024-05-30T13:38:54+00:00,1717076333,3730.09090486,,,,
2024-05-30T13:38:56+00:00,1717076335,3730.09090486,,,,
2024-05-30T13:38:59+00:00,1717076337,3730.11576407,,,,
2024-05-30T13:39:09+00:00,1717076344,3730.2943991,,,,
2024-05-30T13:39:15+00:00,1717076350,3730.2943991,,,,
2024-05-30T13:39:20+00:00,1717076356,3730.56237822,,,,
2024-05-30T13:39:24+00:00,1717076361,3730.56237822,,,,
2024-05-30T13:39:27+00:00,1717076366,3730.56237822,,,,
