Time,timestampREST,REST,timestampHTTP,HTTPStream,timestampWSSAsset,WebSocketAsset,timestampWSSSymbol,WebSocketSymbol
2024-06-03T09:48:26+00:00,1717408105,1.2700900000000002,,,,,1717408104000,1.27009000
2024-06-03T09:48:27+00:00,1717408107,1.2700900000000002,,,,,1717408107001,1.27009000
2024-06-03T09:48:29+00:00,1717408109,1.2701200000000001,,,,,1717408108003,1.27009000
2024-06-03T09:48:30+00:00,1717408110,1.2701300000000002,,,,,1717408110016,1.27009000
2024-06-03T09:48:32+00:00,1717408112,1.2701600000000002,,,,,1717408111000,1.27012000
2024-06-03T09:48:33+00:00,1717408113,1.2701600000000002,,,,,1717408113001,1.27016000
2024-06-03T09:48:35+00:00,1717408115,1.2701500000000001,,,,,1717408114001,1.27016000
2024-06-03T09:48:37+00:00,1717408116,1.2701600000000002,,,,,1717408116000,1.27015000
2024-06-03T09:48:38+00:00,1717408118,1.2701600000000002,,,,,1717408117000,1.27016000
2024-06-03T09:48:40+00:00,1717408120,1.2701600000000002,,,,,1717408119000,1.27016000
2024-06-03T09:48:41+00:00,1717408121,1.2701500000000001,,,,,1717408121000,1.27016000
2024-06-03T09:48:43+00:00,1717408123,1.27014,,,,,1717408122000,1.27016000
2024-06-03T09:48:44+00:00,1717408124,1.2700900000000002,,,,,1717408124000,1.27013000
2024-06-03T09:48:46+00:00,1717408126,1.2700900000000002,,,,,1717408125000,1.27009000
2024-06-03T09:48:48+00:00,1717408127,1.2701,,,,,1717408127000,1.27009000
2024-06-03T09:48:49+00:00,1717408129,1.2701,,,,,1717408129000,1.27010000
2024-06-03T09:48:51+00:00,1717408130,1.2701,,,,,1717408130003,1.27010000
2024-06-03T09:48:52+00:00,1717408132,1.2701,,,,,1717408132000,1.27010000
2024-06-03T09:48:54+00:00,1717408134,1.27014,,,,,1717408133009,1.27010000
2024-06-03T09:48:56+00:00,1717408135,1.2701600000000002,,,,,1717408135000,1.27014000
2024-06-03T09:48:58+00:00,1717408138,1.2701600000000002,,,,,1717408137002,1.27016000
2024-06-03T09:49:00+00:00,1717408140,1.27017,,,,,1717408139000,1.27016000
2024-06-03T09:49:01+00:00,1717408141,1.27017,,,,,1717408141000,1.27017000
2024-06-03T09:49:03+00:00,1717408143,1.27017,,,,,1717408142003,1.27017000
2024-06-03T09:49:04+00:00,1717408144,1.2701600000000002,,,,,1717408144000,1.27017000
2024-06-03T09:49:06+00:00,1717408146,1.2701600000000002,,,,,1717408145001,1.27017000
2024-06-03T09:49:08+00:00,1717408147,1.2701600000000002,,,,,1717408147000,1.27016000
2024-06-03T09:49:09+00:00,1717408149,1.2701600000000002,,,,,1717408149001,1.27016000
2024-06-03T09:49:11+00:00,1717408150,1.2701600000000002,,,,,1717408150000,1.27016000
2024-06-03T09:49:12+00:00,1717408152,1.2701600000000002,,,,,1717408152000,1.27016000
2024-06-03T09:49:15+00:00,1717408154,1.2701200000000001,,,,,1717408153000,1.27016000
2024-06-03T09:49:16+00:00,1717408156,1.2701200000000001,,,,,1717408156001,1.27012000
2024-06-03T09:49:18+00:00,1717408158,1.27011,,,,,1717408157000,1.27013000
2024-06-03T09:49:20+00:00,1717408160,1.2701200000000001,,,,,1717408159000,1.27011000
2024-06-03T09:49:22+00:00,1717408162,1.27011,,,,,1717408161000,1.27012000
2024-06-03T09:49:24+00:00,1717408164,1.2700900000000002,,,,,1717408163001,1.27010000
