name,price,conf,percent,publish_time
BNB,58754694644,44306442,0.0007540919456471816,1722213143
ARB,72150072,72582,0.001005986522092452,1722213143
CAKE,195950025,264103,0.001347807942356731,1722213143
SOL,18766122582,15758280,0.0008397195494776823,1722213143
XRP,60225347,64231,0.0010665110821196264,1722213143
ADA,41309849,41253,0.0009986238390752773,1722213143
AAVE,10032807853,9626456,0.0009594976940699116,1722213143
INJ,2474623918,2838693,0.0011471209743637498,1722213143
LINK,1354454319,1461125,0.0010787554659493835,1722213143
BTC,6876823633985,3251366015,0.00047280055270457617,1722213144
ETH,329011403782,147648627,0.0004487644662244919,1722213144
BNB,58748460268,45956063,0.0007822513609779156,1722213144
ARB,72145025,74233,0.0010289413580492903,1722213144
CAKE,195949082,245961,0.0012552291518262892,1722213144
SOL,18767406662,14906662,0.000794284595014548,1722213144
XRP,60222506,57484,0.0009545268674139864,1722213144
ADA,41309673,41428,0.0010028643896551784,1722213144
AAVE,10032503825,10188916,0.0010155905422742264,1722213144
INJ,2474461726,2960615,0.0011964682940503078,1722213144
LINK,1354497088,1498449,0.0011062770184412534,1722213144
BTC,6877076796255,2998203745,0.00043597066512805413,1722213145
ETH,329089155994,174155994,0.0005292061158137196,1722213145
BNB,58753542746,46905701,0.0007983467686838916,1722213145
ARB,72160849,78880,0.0010931135247591113,1722213145
CAKE,195949107,245986,0.0012553565758276204,1722213145
SOL,18772087059,17175860,0.000914968055816963,1722213145
XRP,60222474,62631,0.0010399938069631613,1722213145
ADA,41314586,45774,0.0011079380052362137,1722213145
AAVE,10032758422,8813228,0.0008784451522997112,1722213145
INJ,2474569365,2839870,0.0011476219014777951,1722213145
LINK,1354540000,1540000,0.0011369173298684423,1722213145
BTC,6877190390953,2884609047,0.0004194458613207403,1722213146
ETH,329099897001,133262682,0.0004049307921831257,1722213146
BNB,58755000020,45448427,0.000773524414680104,1722213146
ARB,72167000,85031,0.0011782532182299389,1722213146
CAKE,195949560,247352,0.001262324855437287,1722213146
SOL,18772302494,16074002,0.0008562616122948993,1722213146
XRP,60220058,60225,0.0010000820656798437,1722213146
ADA,41314798,45986,0.001113063653367009,1722213146
AAVE,10032848072,9586237,0.0009554851156127424,1722213146
INJ,2475001578,2488940,0.0010056316820659416,1722213146
LINK,1354540000,1540000,0.0011369173298684423,1722213146
BTC,6877128801480,3449767238,0.0005016289991918705,1722213147
ETH,329098468122,156377715,0.0004751699875492257,1722213147
BNB,58754709018,45268810,0.0007704711802101091,1722213147
ARB,72163000,74055,0.0010262184221831133,1722213147
CAKE,195949107,260946,0.001331702930394064,1722213147
SOL,18771518530,15088530,0.0008037991159791375,1722213147
XRP,60218198,52136,0.0008657847915010675,1722213147
ADA,41314798,38640,0.0009352581126016882,1722213147
AAVE,10032472254,10658068,0.0010623570870829542,1722213147
INJ,2475474251,2961613,0.0011963820665085157,1722213147
LINK,1354497088,1501572,0.0011085826712386405,1722213147
BTC,6877000154606,3344631594,0.0004863503735360352,1722213148
ETH,329094770365,142801596,0.0004339224103792908,1722213148
BNB,58754603456,41541715,0.0007070376201434098,1722213148
ARB,72150021,82933,0.001149452194892639,1722213148
CAKE,195950025,271856,0.0013873741531801285,1722213148
SOL,18771884373,15537800,0.0008277165835491906,1722213148
XRP,60212248,53253,0.0008844213888177701,1722213148
ADA,41314655,40436,0.0009787326071099953,1722213148
AAVE,10030865783,10030778,0.000999991248711537,1722213148
INJ,2475042741,2938157,0.0011871136410407548,1722213148
LINK,1354497088,1502912,0.0011095719683082849,1722213148
BTC,6877295649670,3256220591,0.00047347398699607257,1722213149
ETH,329091177356,127177356,0.00038645021425908274,1722213149
BNB,58754913444,45632187,0.0007766531226957313,1722213149
ARB,72149798,72308,0.0010021926880516006,1722213149
CAKE,195951275,253987,0.0012961742657709168,1722213149
SOL,18778500000,17175467,0.0009146346619804563,1722213149
XRP,60209843,55417,0.0009203976831495807,1722213149
ADA,41314899,44664,0.0010810627904475816,1722213149
AAVE,10030001500,9024497,0.0008997503140951674,1722213149
INJ,2475173988,2661350,0.001075217343468624,1722213149
LINK,1354495000,1529531,0.0011292260215061702,1722213149
BTC,6877323429938,3228440323,0.00046943267331969946,1722213150
ETH,329093253487,118937787,0.00036141059028029675,1722213150
BNB,58754913444,47440052,0.0008074227195520537,1722213150
ARB,72149798,72308,0.0010021926880516006,1722213150
CAKE,195950025,255237,0.00130256171184464,1722213150
SOL,18778500000,17180713,0.0009149140240168278,1722213150
XRP,60210007,55253,0.0009176713764540834,1722213150
ADA,41314899,43810,0.001060392281244594,1722213150
AAVE,10030433641,8740062,0.0008713543514484231,1722213150
INJ,2475373054,2860416,0.0011555494616772217,1722213150
LINK,1354496879,1503120,0.0011097257020700746,1722213150
BTC,6877487064120,3682894580,0.0005355000373921081,1722213154
ETH,329093394186,121284551,0.0003685414327443209,1722213154
BNB,58754999999,47526607,0.000808894681317486,1722213154
ARB,72154000,71795,0.0009950245308645398,1722213154
CAKE,195950025,255237,0.00130256171184464,1722213154
SOL,18779000000,13500000,0.0007188881197081847,1722213154
XRP,60208951,56309,0.0009352263918366556,1722213154
ADA,41316526,46291,0.0011203991352031872,1722213154
AAVE,10031348094,8363094,0.0008336959221863884,1722213154
INJ,2475418715,2919389,0.001179351591029722,1722213154
LINK,1354500000,1530000,0.0011295681063122924,1722213154
BTC,6877487064120,3682894580,0.0005355000373921081,1722213154
ETH,329093394186,121284551,0.0003685414327443209,1722213154
BNB,58754999999,47526607,0.000808894681317486,1722213154
ARB,72154000,71795,0.0009950245308645398,1722213154
CAKE,195950025,255237,0.00130256171184464,1722213154
SOL,18779000000,13500000,0.0007188881197081847,1722213154
XRP,60208951,56309,0.0009352263918366556,1722213154
ADA,41316526,46291,0.0011203991352031872,1722213154
AAVE,10031348094,8363094,0.0008336959221863884,1722213154
INJ,2475418715,2919389,0.001179351591029722,1722213154
LINK,1354500000,1530000,0.0011295681063122924,1722213154
BTC,6877487064120,3682894580,0.0005355000373921081,1722213154
ETH,329093394186,121284551,0.0003685414327443209,1722213154
BNB,58754999999,47526607,0.000808894681317486,1722213154
ARB,72154000,71795,0.0009950245308645398,1722213154
CAKE,195950025,255237,0.00130256171184464,1722213154
SOL,18779000000,13500000,0.0007188881197081847,1722213154
XRP,60208951,56309,0.0009352263918366556,1722213154
ADA,41316526,46291,0.0011203991352031872,1722213154
AAVE,10031348094,8363094,0.0008336959221863884,1722213154
INJ,2475418715,2919389,0.001179351591029722,1722213154
LINK,1354500000,1530000,0.0011295681063122924,1722213154
BTC,6877487064120,3682894580,0.0005355000373921081,1722213154
ETH,329093394186,121284551,0.0003685414327443209,1722213154
BNB,58754999999,47526607,0.000808894681317486,1722213154
ARB,72154000,71795,0.0009950245308645398,1722213154
CAKE,195950025,255237,0.00130256171184464,1722213154
SOL,18779000000,13500000,0.0007188881197081847,1722213154
XRP,60208951,56309,0.0009352263918366556,1722213154
ADA,41316526,46291,0.0011203991352031872,1722213154
AAVE,10031348094,8363094,0.0008336959221863884,1722213154
INJ,2475418715,2919389,0.001179351591029722,1722213154
LINK,1354500000,1530000,0.0011295681063122924,1722213154
BTC,6878025979292,2987826838,0.00043440179595069755,1722213155
ETH,329101336802,117015339,0.0003555602056712426,1722213155
BNB,58764769016,42467416,0.0007226679643450537,1722213155
ARB,72170051,71843,0.0009954683279910666,1722213155
CAKE,195950000,251668,0.0012843480479714214,1722213155
SOL,18777500500,14135853,0.0007528080214935955,1722213155
XRP,60207382,57637,0.0009573078596906938,1722213155
ADA,41320037,41563,0.001005880028616625,1722213155
AAVE,10033950830,7947015,0.000792012551650106,1722213155
INJ,2475471841,2886603,0.0011660819372657125,1722213155
LINK,1354568103,1515950,0.0011191390057410794,1722213155
BTC,6877956063695,3058176129,0.00044463443800440267,1722213156
ETH,329102182740,112727390,0.0003425300587843801,1722213156
BNB,58764913429,54186453,0.0009220885361376102,1722213156
ARB,72170002,73392,0.0010169322151328192,1722213156
CAKE,195950000,255665,0.0013047461087011994,1722213156
SOL,18779000000,14393500,0.0007664678630385004,1722213156
XRP,60207617,59717,0.0009918512469942135,1722213156
ADA,41315250,40352,0.000976685364363038,1722213156
AAVE,10034008000,8101552,0.0008074093622408912,1722213156
INJ,2475488122,2975484,0.001201978702122005,1722213156
LINK,1354590004,1537851,0.0011352889032540062,1722213156
BTC,6877863000000,3150892868,0.0004581209116843415,1722213158
ETH,329107307474,131001757,0.00039805180263385474,1722213158
BNB,58765002500,63473356,0.001080121727213404,1722213158
ARB,72174640,72175,0.0010000049879015677,1722213158
CAKE,195949560,246085,0.001255858905730638,1722213158
SOL,18779406102,15577685,0.0008295089267141937,1722213158
XRP,60207329,60005,0.0009966394622820754,1722213158
ADA,41317612,41856,0.0010130304723322346,1722213158
AAVE,10033450332,9532452,0.0009500671936948598,1722213158
INJ,2475500000,2958177,0.0011949816198747727,1722213158
LINK,1354592006,1539853,0.0011367651611550998,1722213158
BTC,6877863000000,3150892868,0.0004581209116843415,1722213158
ETH,329107307474,131001757,0.00039805180263385474,1722213158
BNB,58765002500,63473356,0.001080121727213404,1722213158
ARB,72174640,72175,0.0010000049879015677,1722213158
CAKE,195949560,246085,0.001255858905730638,1722213158
SOL,18779406102,15577685,0.0008295089267141937,1722213158
XRP,60207329,60005,0.0009966394622820754,1722213158
ADA,41317612,41856,0.0010130304723322346,1722213158
AAVE,10033450332,9532452,0.0009500671936948598,1722213158
INJ,2475500000,2958177,0.0011949816198747727,1722213158
LINK,1354592006,1539853,0.0011367651611550998,1722213158
BTC,6877885000000,3128849498,0.0004549144828679165,1722213159
ETH,329119500000,132434373,0.0004023899313167406,1722213159
BNB,58764933039,59427570,0.0010112760608535065,1722213159
ARB,72170222,78511,0.0010878586461878972,1722213159
CAKE,195950000,254729,0.0012999693799438633,1722213159
SOL,18779500000,15671583,0.0008345048057722517,1722213159
XRP,60208005,57556,0.0009559526179284632,1722213159
ADA,41319920,41446,0.0010030513127808572,1722213159
AAVE,10033527009,9002137,0.0008972056378504935,1722213159
INJ,2475485108,2942482,0.001188648637186631,1722213159
LINK,1354622379,1570226,0.001159161419700715,1722213159
BTC,6877954753648,3619485895,0.0005262445050369458,1722213160
ETH,329127099198,99409327,0.00030203932536164766,1722213160
